Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total
Rúben Dias,Rúben Santos Gato Alves Dias,88,107500000,CB,CB,Portugal,25,187,82,412,Manchester City,230000,206900000,CB,2027,3,2020,-,Right,4,2,3,Portugal,CB,4,Medium,High,63,39,66,68,88,88
E. Haaland,Erling Haaland,88,148000000,ST,ST,Norway,21,195,94,461,Manchester City,220000,303400000,ST,2027,9,2022,-,Left,3,3,4,Norway,ST,9,High,Medium,89,91,65,80,49,87
G. Donnarumma,Gianluigi Donnarumma,88,103500000,GK,GK,Italy,23,196,90,478,Paris Saint-Germain,110000,199200000,GK,2026,99,2021,-,Right,3,1,3,Italy,GK,21,Medium,Medium,90,83,79,89,52,85
Bernardo Silva,Bernardo Mota Carvalho e Silva,88,97500000,"CAM,CM",CAM,Portugal,27,173,64,460,Manchester City,260000,180400000,RW,2025,20,2017,-,Left,3,4,2,Portugal,CM,10,High,High,77,78,84,92,61,68
João Cancelo,João Pedro Cavaco Cancelo,88,82500000,"LB,RB",LB,Portugal,28,182,74,482,Manchester City,250000,152600000,LB,2027,7,2019,-,Right,4,4,3,Portugal,RB,20,High,Medium,85,73,85,85,81,73
Marquinhos,Marcos Aoás Corrêa,88,92000000,CB,CB,Brazil,28,183,75,453,Paris Saint-Germain,170000,177100000,CB,2024,5,2013,-,Right,3,3,3,-,-,-,Medium,High,79,56,75,74,89,80
K. Navas,Keylor Navas,88,10000000,GK,GK,Costa Rica,35,185,80,478,Paris Saint-Germain,85000,18500000,SUB,2024,1,2019,-,Right,3,1,3,-,-,-,Medium,Medium,89,84,75,89,54,87
M. ter Stegen,Marc-André ter Stegen,88,68500000,GK,GK,Germany,30,187,85,480,FC Barcelona,210000,145600000,GK,2025,1,2014,-,Right,4,1,4,Germany,SUB,12,Medium,Medium,86,85,87,90,47,85
T. Kroos,Toni Kroos,88,72000000,CM,CM,Germany,32,183,76,444,Real Madrid CF,310000,147600000,CM,2023,8,2014,-,Right,5,3,4,-,-,-,Medium,Medium,53,81,90,81,71,68
L. Modrić,Luka Modrić,88,29000000,CM,CM,Croatia,36,172,66,464,Real Madrid CF,230000,59500000,CM,2023,10,2012,-,Right,4,4,4,Croatia,CM,10,Medium,Medium,73,76,89,88,72,66
A. Rüdiger,Antonio Rüdiger,87,73500000,CB,CB,Germany,29,190,85,444,Real Madrid CF,250000,156200000,CB,2026,22,2022,-,Right,3,2,2,Germany,CB,2,High,High,82,53,71,67,86,85
Rodri,Rodrigo Hernández Cascante,87,88500000,CDM,CDM,Spain,26,191,82,454,Manchester City,200000,170400000,CDM,2027,16,2019,-,Right,4,3,3,Spain,SUB,16,Medium,High,58,72,78,79,83,84
Fabinho,Fábio Henrique Tavares,87,77000000,"CDM,CB",CDM,Brazil,28,188,78,459,Liverpool,185000,148200000,CDM,2026,3,2018,-,Right,2,3,3,-,-,-,Medium,High,66,69,78,77,86,83
H. Lloris,Hugo Lloris,87,9000000,GK,GK,France,35,188,82,478,Tottenham Hotspur,80000,17100000,GK,2024,1,2012,-,Left,1,1,4,France,GK,1,Medium,Medium,88,83,74,88,61,84
T. Müller,Thomas Müller,87,63000000,"CAM,CF",CAM,Germany,32,185,76,443,FC Bayern München,115000,104000000,CAM,2024,25,2008,-,Right,4,3,4,Germany,CAM,13,High,High,69,84,83,80,56,71
De Gea,David De Gea Quintana,87,42000000,GK,GK,Spain,31,192,76,468,Manchester United,150000,79800000,GK,2023,1,2011,-,Right,3,1,4,Spain,SUB,1,Medium,Medium,88,80,76,89,51,84
M. Verratti,Marco Verratti,87,77500000,"CM,CAM",CM,Italy,29,165,60,444,Paris Saint-Germain,155000,143400000,CM,2024,6,2012,-,Right,4,4,3,Italy,CM,6,Medium,High,60,61,87,91,79,66
M. Maignan,Mike Maignan,87,80000000,GK,GK,France,26,191,89,477,AC Milan,90000,142000000,GK,2026,16,2021,-,Right,4,1,2,France,SUB,16,Medium,Medium,85,82,85,89,51,85
T. Alexander-Arnold,Trent Alexander-Arnold,87,100500000,RB,CM,England,23,180,69,467,Liverpool,150000,193500000,RB,2025,66,2015,-,Right,4,3,3,-,-,-,High,Medium,76,69,89,80,80,73
A. Robertson,Andrew Robertson,87,72000000,LB,LB,Scotland,28,178,64,461,Liverpool,185000,133199999,LB,2026,26,2017,-,Left,2,3,3,Scotland,LWB,3,High,High,80,61,81,81,82,76
K. Koulibaly,Kalidou Koulibaly,87,54500000,CB,CB,Senegal,31,187,89,415,Chelsea,175000,100800000,CB,2026,26,2022,-,Right,4,2,3,-,-,-,Medium,High,82,33,59,68,88,85
L. Goretzka,Leon Goretzka,87,91000000,"CM,CDM",CM,Germany,27,189,82,492,FC Bayern München,115000,157000000,CDM,2026,8,2018,-,Right,4,3,4,Germany,SUB,8,High,Medium,78,82,82,83,81,86
F. de Jong,Frenkie de Jong,87,116500000,CM,CM,Netherlands,25,180,74,479,FC Barcelona,230000,247600000,CM,2026,21,2019,-,Right,3,4,3,Netherlands,CDM,21,High,Medium,82,69,86,87,77,78
Thiago,Thiago Alcântara,86,55500000,CM,CM,Spain,31,174,70,451,Liverpool,180000,102700000,CM,2024,6,2020,-,Right,3,5,3,-,-,-,Medium,Medium,61,72,87,90,72,69
C. Immobile,Ciro Immobile,86,55000000,ST,ST,Italy,32,185,85,434,Lazio,100000,93500000,ST,2025,17,2016,-,Right,4,3,4,Italy,ST,17,High,Medium,85,87,68,80,39,75
R. Lukaku,Romelu Lukaku,86,68000000,ST,ST,Belgium,29,191,94,437,Inter,200000,0,ST,2023,90,2021,TRUE,Left,4,3,4,Belgium,ST,9,Medium,Low,80,85,75,77,38,82
D. Alaba,David Alaba,86,55500000,CB,CB,Austria,30,180,78,475,Real Madrid CF,220000,113800000,CB,2026,4,2021,-,Left,4,3,4,Austria,LB,8,Medium,Medium,79,71,83,80,85,77
R. Sterling,Raheem Sterling,86,72500000,"LW,RW",LW,England,27,170,69,446,Chelsea,195000,134100000,ST,2027,17,2022,-,Right,3,4,4,England,LW,7,High,Medium,90,80,78,86,45,67
R. Mahrez,Riyad Mahrez,86,56500000,"RW,RM",RW,Algeria,31,179,67,432,Manchester City,220000,104500000,SUB,2025,26,2018,-,Left,4,5,3,-,-,-,Medium,Medium,80,83,81,90,38,60
P. Dybala,Paulo Dybala,86,69500000,"CF,CAM",CAM,Argentina,28,177,75,439,Roma,130000,118200000,RF,2025,21,2022,-,Left,3,4,3,Argentina,SUB,21,High,Low,80,85,85,90,40,59
Thiago Silva,Thiago Emiliano da Silva,86,12000000,CB,CB,Brazil,37,183,79,411,Chelsea,115000,22200000,CB,2023,6,2020,-,Right,3,2,4,-,-,-,Medium,High,49,54,73,72,87,76
W. Szczęsny,Wojciech Szczęsny,86,33500000,GK,GK,Poland,32,195,90,462,Juventus,125000,57000000,RES,2024,1,2017,-,Right,3,1,3,Poland,GK,1,Medium,Medium,86,81,73,87,49,86
K. Trapp,Kevin Trapp,86,36000000,GK,GK,Germany,31,189,84,463,Eintracht Frankfurt,43000,61200000,GK,2024,1,2019,-,Right,4,1,3,Germany,SUB,22,Medium,Medium,84,82,79,87,46,85
Bruno Fernandes,Bruno Miguel Borges Fernandes,86,72500000,"CAM,CM",CAM,Portugal,27,179,69,470,Manchester United,190000,137800000,CAM,2026,8,2020,-,Right,3,4,3,Portugal,CM,11,High,High,72,86,88,81,67,76
Parejo,Daniel Parejo Muñoz,86,42000000,CM,CM,Spain,33,182,74,442,Villarreal CF,64000,88200000,CM,2024,10,2020,-,Right,4,3,2,-,-,-,Medium,Medium,50,83,90,80,71,68
A. Laporte,Aymeric Laporte,86,64500000,CB,CB,Spain,28,191,85,417,Manchester City,195000,124200000,CB,2025,14,2018,-,Left,3,2,3,Spain,CB,15,Medium,Medium,61,50,72,69,86,79
K. Coman,Kingsley Coman,86,80000000,LM,LM,France,26,179,75,426,FC Bayern München,105000,138000000,RM,2027,11,2015,-,Right,3,5,4,France,RM,11,Medium,Medium,92,77,79,87,30,61
M. Brozović,Marcelo Brozović,86,58000000,"CDM,CM",CDM,Croatia,29,181,68,464,Inter,110000,95700000,CDM,2026,77,2016,-,Right,4,3,3,Croatia,CDM,11,Medium,Medium,69,74,81,81,81,78
N. Barella,Nicolò Barella,86,89500000,CM,CM,Italy,25,172,68,480,Inter,110000,154400000,CM,2026,23,2020,-,Right,3,3,3,Italy,CM,18,High,High,79,76,83,84,77,81
L. Martínez,Lautaro Martínez,86,98500000,ST,ST,Argentina,24,174,72,455,Inter,110000,169900000,ST,2026,10,2018,-,Right,4,4,3,Argentina,ST,22,High,Medium,83,83,72,85,48,84
M. Škriniar,Milan Škriniar,86,68500000,CB,CB,Slovakia,27,188,80,419,Inter,105000,118200000,CB,2023,37,2017,-,Right,3,2,3,-,-,-,Low,High,78,41,57,69,88,86
C. Nkunku,Christopher Nkunku,86,94000000,"CF,CAM,ST",CAM,France,24,175,73,471,RB Leipzig,90000,166900000,CAM,2024,18,2019,-,Right,3,5,3,France,SUB,12,High,Medium,88,81,83,88,65,66
É. Mendy,Édouard Mendy,86,51000000,GK,GK,Senegal,30,197,86,454,Chelsea,130000,98200000,GK,2025,16,2020,-,Right,2,1,2,-,-,-,Medium,Medium,84,82,81,88,34,85
Vinícius Jr.,Vinícius José de Oliveira Júnior,86,109000000,LW,LW,Brazil,21,176,73,434,Real Madrid CF,200000,245300000,LW,2025,20,2018,-,Right,4,5,2,-,-,-,High,Medium,95,79,74,90,29,67
S. Milinković-Savić,Sergej Milinković-Savić,86,77500000,CM,CM,Serbia,27,191,76,477,Lazio,90000,137600000,CM,2024,21,2015,-,Right,5,4,3,-,-,-,High,Medium,68,80,82,82,79,86
N. Süle,Niklas Süle,85,59000000,"CB,RB",CB,Germany,26,195,99,412,Borussia Dortmund,72000,104700000,SUB,2026,25,2022,-,Right,3,3,3,Germany,CB,15,Medium,Medium,71,48,66,59,85,83
N. Fekir,Nabil Fekir,85,54500000,CAM,CAM,France,28,173,75,452,Real Betis Balompié,48000,114500000,CAM,2026,8,2019,-,Left,4,4,3,-,-,-,High,Medium,83,82,82,87,38,80
S. Gnabry,Serge Gnabry,85,59000000,RM,RM,Germany,26,176,77,442,FC Bayern München,100000,97400000,SUB,2026,7,2017,-,Right,4,4,4,Germany,SUB,10,High,Medium,82,84,79,85,43,69
İ. Gündoğan,İlkay Gündoğan,85,44000000,"CM,CDM",CM,Germany,31,180,80,458,Manchester City,185000,81400000,CM,2023,8,2016,-,Right,4,4,3,Germany,CDM,21,High,Medium,64,80,85,85,72,72
K. Walker,Kyle Walker,85,37500000,RB,RB,England,32,183,83,471,Manchester City,170000,69400000,RB,2024,2,2017,-,Right,2,3,3,England,RB,2,High,High,91,63,77,78,80,82
P. Aubameyang,Pierre-Emerick Aubameyang,85,34500000,ST,ST,Gabon,33,187,80,428,Chelsea,180000,63800000,SUB,2024,9,2022,-,Right,4,4,3,-,-,-,High,Low,87,84,74,79,36,68
Jordi Alba,Jordi Alba Ramos,85,28000000,LB,LB,Spain,33,170,68,465,FC Barcelona,190000,57400000,LB,2024,18,2012,-,Left,3,3,3,Spain,LB,18,High,Medium,84,70,82,82,77,70
Sergio Busquets,Sergio Busquets Burgos,85,26500000,CDM,CDM,Spain,33,189,76,417,FC Barcelona,190000,54300000,CDM,2023,5,2008,-,Right,3,3,4,Spain,CDM,5,Medium,Medium,42,62,79,79,82,73
Iago Aspas,Iago Aspas Juncal,85,26000000,ST,ST,Spain,34,176,67,430,RC Celta de Vigo,50000,54600000,ST,2025,10,2015,-,Left,4,3,2,-,-,-,High,High,82,85,79,86,35,63
P. Pogba,Paul Pogba,85,52500000,"CM,CDM,LM",CM,France,29,191,84,459,Juventus,165000,89300000,SUB,2026,10,2022,-,Right,4,5,4,France,CDM,6,Medium,Low,67,80,85,85,62,80
M. Depay,Memphis Depay,85,55000000,"CF,ST,LW",CF,Netherlands,28,176,78,444,FC Barcelona,230000,112800000,SUB,2023,14,2021,-,Right,3,5,4,Netherlands,ST,10,High,Low,83,84,82,86,30,79
Jorginho,Luiz Frello Filho Jorge,85,51500000,CM,CM,Italy,30,180,68,434,Chelsea,165000,95300000,CM,2023,5,2018,-,Right,3,3,2,Italy,CM,8,Medium,Medium,54,67,86,81,73,73
M. Acuña,Marcos Acuña,85,46500000,LB,LB,Argentina,30,172,69,483,Sevilla FC,46000,97700000,LB,2024,19,2020,-,Left,3,3,2,Argentina,LB,8,High,High,76,74,83,87,80,83
Gerard Moreno,Gerard Moreno Balagueró,85,53000000,ST,ST,Spain,30,180,77,442,Villarreal CF,64000,111300000,ST,2027,7,2018,-,Left,4,3,2,Spain,SUB,9,High,Medium,78,86,77,83,46,72
Y. Carrasco,Yannick Carrasco,85,54500000,LM,LM,Belgium,28,181,73,458,Atlético de Madrid,90000,111700000,LM,2024,21,2020,-,Right,4,4,3,Belgium,LM,11,High,High,89,82,80,87,53,67
F. Kostić,Filip Kostić,85,53000000,"LM,LWB",LM,Serbia,29,184,84,474,Juventus,165000,90100000,LW,2026,17,2022,-,Left,2,3,3,-,-,-,High,High,84,78,82,82,68,80
J. Vardy,Jamie Vardy,85,23000000,ST,ST,England,35,179,74,441,Leicester City,110000,43700000,ST,2024,9,2012,-,Right,4,3,3,-,-,-,High,Medium,84,84,70,79,52,72
Pedri,Pedro González López,85,116000000,CM,CM,Spain,19,174,61,455,FC Barcelona,115000,261000000,CM,2026,8,2020,-,Right,4,4,2,Spain,CM,10,High,High,79,67,81,87,68,73
P. Foden,Phil Foden,85,109500000,"LW,CF,CAM",CAM,England,22,171,69,445,Manchester City,180000,224500000,LW,2024,47,2016,-,Left,3,4,3,England,RW,20,High,High,82,78,81,88,56,60
M. de Ligt,Matthijs de Ligt,85,71000000,CB,CB,Netherlands,22,189,89,435,FC Bayern München,77000,122500000,CB,2027,4,2022,-,Right,3,2,3,Netherlands,CB,3,Medium,High,75,59,61,69,84,87
P. Schick,Patrik Schick,85,67500000,ST,ST,Czech Republic,26,191,86,427,Bayer 04 Leverkusen,95000,119800000,ST,2027,14,2020,-,Left,3,4,3,Czech Republic,SUB,6,High,Medium,78,83,71,83,36,76
T. Hernández,Theo Hernández,85,76000000,LB,LWB,France,24,184,81,483,AC Milan,82000,134900000,LB,2026,19,2019,-,Left,3,3,3,France,SUB,22,High,Medium,93,72,76,81,78,83
Diogo Jota,Diogo José Teixeira da Silva,85,76000000,"CF,LW",ST,Portugal,25,178,73,462,Liverpool,170000,146300000,SUB,2025,20,2020,-,Right,5,4,2,Portugal,LW,19,High,High,85,83,75,85,57,77
P. Gulácsi,Péter Gulácsi,85,26500000,GK,GK,Hungary,32,191,86,456,RB Leipzig,65000,45100000,GK,2025,1,2015,-,Right,2,1,3,Hungary,GK,1,Medium,Medium,85,84,76,85,43,83
Y. Sommer,Yann Sommer,85,17500000,GK,GK,Switzerland,33,183,79,467,Borussia Mönchengladbach,40000,29800000,GK,2023,1,2014,-,Right,4,1,3,-,-,-,Medium,Medium,78,81,82,90,50,86
M. Reus,Marco Reus,85,33500000,"CAM,CF,RM",CAM,Germany,33,180,71,441,Borussia Dortmund,78000,57000000,CAM,2023,11,2012,-,Right,4,4,4,Germany,SUB,11,High,Medium,70,84,84,85,53,65
L. Hernández,Lucas Hernández,84,46000000,"CB,LB",CB,France,26,184,79,436,FC Bayern München,82000,79400000,SUB,2024,21,2019,-,Left,2,2,3,France,CB,21,Medium,Medium,77,54,70,71,84,80
Sergio Ramos,Sergio Ramos García,84,7500000,CB,CB,Spain,36,184,82,433,Paris Saint-Germain,75000,13900000,CB,2023,4,2021,-,Right,3,3,4,Spain,SUB,4,High,Medium,61,69,73,70,83,77
A. Gómez,Alejandro Gómez,84,20000000,"CAM,LW",CAM,Argentina,34,167,68,425,Sevilla FC,47000,42000000,LW,2024,24,2021,-,Right,4,4,3,Argentina,SUB,17,High,Medium,86,78,83,85,39,54
S. Handanovič,Samir Handanovič,84,4700000,GK,GK,Slovenia,37,193,92,443,Inter,46000,7800000,GK,2023,1,2012,-,Right,3,1,3,-,-,-,Medium,Medium,80,80,65,85,43,90
D. Mertens,Dries Mertens,84,18000000,"CF,ST,CAM",CF,Belgium,35,169,61,410,Galatasaray SK,86000,34200000,CF,2023,10,2022,-,Right,4,4,3,Belgium,SUB,14,High,Low,78,82,80,87,34,49
L. Suárez,Luis Suárez,84,18000000,ST,ST,Uruguay,35,182,86,439,Club Nacional de Football,1000,39600000,ST,2022,9,2022,-,Right,4,3,4,-,-,-,High,Medium,70,86,78,78,46,81
D. Tadić,Dušan Tadić,84,26500000,"LW,CF,CAM",LW,Serbia,33,181,76,439,Ajax,32000,37100000,RW,2024,10,2018,-,Left,3,4,3,-,-,-,Medium,Medium,68,81,86,84,43,77
D. Berardi,Domenico Berardi,84,45000000,"RM,RW",RM,Italy,27,183,72,437,U.S. Sassuolo Calcio,57000,76500000,SUB,2027,10,2012,-,Left,3,4,2,Italy,SUB,11,Medium,Medium,82,81,81,86,36,71
T. Partey,Thomas Partey,84,36000000,"CDM,CM",CDM,Ghana,29,185,77,460,Arsenal,115000,68400000,CDM,2024,5,2020,-,Right,3,3,2,Ghana,CDM,6,Medium,High,65,71,81,80,80,83
Y. Bounou,Yassine Bounou,84,22500000,GK,GK,Morocco,31,192,78,447,Sevilla FC,34000,47300000,GK,2025,13,2020,-,Left,2,1,1,Morocco,GK,1,Medium,Medium,84,81,76,86,36,84
H. Çalhanoğlu,Hakan Çalhanoğlu,84,42000000,CM,CM,Turkey,28,178,76,450,Inter,100000,69300000,CM,2024,20,2021,-,Right,4,4,3,-,-,-,High,High,67,80,85,86,68,64
M. Kovačić,Mateo Kovačić,84,42000000,CM,CM,Croatia,28,176,80,452,Chelsea,155000,77700000,SUB,2024,8,2019,-,Right,4,4,3,Croatia,CM,8,High,High,70,69,83,88,71,71
J. Grealish,Jack Grealish,84,46000000,"LW,LM,CAM",LW,England,26,180,81,437,Manchester City,185000,85100000,SUB,2027,10,2021,-,Right,3,4,3,England,SUB,10,High,Medium,76,76,83,87,46,69
Carvajal,Daniel Carvajal Ramos,84,36500000,RB,RB,Spain,30,173,73,450,Real Madrid CF,185000,74800000,RB,2025,2,2013,-,Right,3,3,3,Spain,RB,20,High,Medium,82,54,77,80,78,79
S. Savić,Stefan Savić,84,29000000,CB,CB,Montenegro,31,187,80,382,Atlético de Madrid,74000,59500000,CB,2024,15,2015,-,Right,3,2,2,-,-,-,Medium,High,64,35,58,58,87,80
E. Martínez,Emiliano Martínez,84,29000000,GK,GK,Argentina,29,195,88,476,Aston Villa,95000,55100000,GK,2027,1,2020,-,Right,4,1,3,Argentina,GK,23,Medium,Medium,85,83,82,85,58,83
R. Varane,Raphaël Varane,84,39000000,CB,CB,France,29,191,81,425,Manchester United,155000,77000000,CB,2025,19,2021,-,Right,4,2,3,France,CB,4,Medium,High,81,49,64,66,85,80
W. Ben Yedder,Wissam Ben Yedder,84,35500000,ST,CF,France,31,170,68,438,AS Monaco,88000,67500000,ST,2024,10,2019,-,Right,5,4,2,France,SUB,9,High,Low,81,84,78,88,39,68
L. Insigne,Lorenzo Insigne,84,35000000,"LW,CF,LM",CAM,Italy,31,163,59,416,Toronto FC,19000,52500000,LW,2026,24,2022,-,Right,4,4,4,Italy,LW,10,High,Medium,84,78,84,89,36,45
M. Hummels,Mats Hummels,84,20000000,"CB,RB,RW",CB,Germany,33,191,94,425,Borussia Dortmund,66000,34000000,CB,2023,15,2019,-,Right,3,3,4,-,-,-,Medium,Medium,53,59,76,72,87,78
S. de Vrij,Stefan de Vrij,84,34500000,CB,CB,Netherlands,30,189,78,409,Inter,88000,56900000,CB,2023,6,2018,-,Right,3,2,3,Netherlands,SUB,12,Medium,High,68,41,65,69,87,79
J. Matip,Joel Matip,84,34500000,CB,CB,Cameroon,30,194,90,412,Liverpool,140000,63800000,CB,2024,32,2016,-,Right,2,2,2,-,-,-,Medium,Medium,61,46,69,71,87,78
K. Casteels,Koen Casteels,84,31500000,GK,GK,Belgium,30,197,86,460,VfL Wolfsburg,55000,55900000,GK,2024,1,2015,-,Left,2,1,3,Belgium,SUB,13,Medium,Medium,84,82,79,86,45,84
Canales,Sergio Canales Madrazo,84,35000000,"RM,CAM,CDM",RM,Spain,31,176,65,468,Real Betis Balompié,42000,73500000,RM,2026,10,2018,-,Left,3,4,2,-,-,-,High,Medium,83,79,85,82,68,71
Muniain,Iker Muniain Goñi,84,41500000,"LM,CAM",LM,Spain,29,170,66,439,Athletic Club de Bilbao,49000,87200000,CAM,2024,10,2009,-,Right,3,4,2,-,-,-,High,Medium,81,77,82,87,51,61
K. Trippier,Kieran Trippier,84,30500000,"RB,RM",RB,England,31,173,71,445,Newcastle United,120000,58000000,RB,2024,2,2022,-,Right,4,3,2,England,SUB,12,Medium,Medium,70,64,82,77,80,72
L. Bonucci,Leonardo Bonucci,84,11000000,CB,CB,Italy,35,190,85,416,Juventus,95000,18700000,CB,2024,19,2018,-,Right,4,2,3,Italy,CB,19,Medium,High,54,59,69,71,85,78
Á. Di María,Ángel Di María,84,20000000,RW,RW,Argentina,34,180,69,444,Juventus,160000,34000000,RW,2023,22,2022,-,Left,2,5,4,Argentina,LW,11,High,Medium,79,79,84,87,48,67
E. Hazard,Eden Hazard,84,35000000,LW,LW,Belgium,31,175,74,430,Real Madrid CF,220000,71800000,SUB,2024,7,2019,-,Right,4,4,4,Belgium,LF,10,Medium,Medium,83,80,82,87,35,63
I. Perišić,Ivan Perišić,84,26500000,"LM,LWB",LM,Croatia,33,186,80,472,Tottenham Hotspur,130000,50400000,SUB,2024,14,2022,-,Right,5,4,3,Croatia,LM,4,High,Medium,78,81,79,82,74,78
E. Džeko,Edin Džeko,84,14500000,ST,ST,Bosnia and Herzegovina,36,193,80,415,Inter,80000,23900000,SUB,2023,9,2021,-,Right,5,3,3,-,-,-,Medium,Medium,63,84,71,77,45,75
G. Chiellini,Giorgio Chiellini,84,7500000,CB,CB,Italy,37,187,85,397,Los Angeles FC,11000,11300000,CB,2023,14,2022,-,Left,3,2,4,-,-,-,Medium,High,65,46,60,58,85,83
R. De Paul,Rodrigo Javier De Paul,84,42000000,CM,CM,Argentina,28,180,70,476,Atlético de Madrid,85000,86100000,CM,2026,5,2021,-,Right,3,4,1,Argentina,CM,7,High,Medium,78,77,83,82,75,81
J. Bellingham,Jude Bellingham,84,81500000,"CM,LM",CM,England,19,186,75,469,Borussia Dortmund,41000,154900000,CDM,2025,22,2020,-,Right,4,4,2,England,SUB,26,High,High,75,75,78,84,77,80
F. Chiesa,Federico Chiesa,84,66500000,LW,RM,Italy,24,175,70,455,Juventus,140000,126400000,SUB,2025,7,2022,-,Right,4,4,3,Italy,RW,14,High,Medium,91,81,76,86,48,73
